,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,"1,294","5,248","5,965","6,585","4,737","5,048","4,246","2,887","1,962"
毛利潤,0,0,0,0,0,0,0,0,0
營業利潤,0,0,0,0,0,0,0,0,0
淨收入,"-4,356","-1,907","-1,652","-1,305","-3,290","-1,901","-2,623","-3,327","-3,704"
每股收益,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
息稅前利潤率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
淨收入率,-336.5,-36.3,-27.7,-19.8,-69.5,-37.7,-61.8,-115.2,-188.8
流動資產,$0 ,"$8,390 ","$8,390 ","$8,155 ","$8,155 ","$6,955 ","$6,955 ","$7,188 ","$7,188 "
非流動資產,$0 ,"$73,397 ","$73,397 ","$72,732 ","$72,732 ","$71,753 ","$71,753 ","$69,566 ","$69,566 "
負債總額,$0 ,"$66,829 ","$66,829 ","$68,756 ","$68,756 ","$71,784 ","$71,784 ","$75,734 ","$75,734 "
股東權益,$0 ,"$14,957 ","$14,957 ","$12,131 ","$12,131 ","$6,924 ","$6,924 ","$1,020 ","$1,020 "
淨負債權益比率,0.0 ,321.6 ,321.6 ,429.7 ,429.7 ,820.5 ,820.5 ,"6,072.3 ","6,072.3 "
普通股權資本比率,0.0 ,18.0 ,18.0 ,14.7 ,14.7 ,8.5 ,8.5 ,1.0 ,1.0 
流動資產與流動負債比,0.00x,0.77x,0.77x,0.92x,0.92x,0.82x,0.82x,1.09x,1.09x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
